_id,Collection Site,Analyte,Collection Date,Collection Time,Lab Workoder ID,Lab Sample ID,Result,Units,Detection Limit,Result Call,Method,Value Qualifier,Remark Code,_id,NAME,LOCATION,STATUS,FIRST_YR,LAST_YR,TOTAL_YRS,MISS_YRS,LATITUDE,LONGITUDE
65216,12003100102,Lead,06/09/2021,10:45:00,1754,1754005,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
65465,12003100102,Lead,07/13/2021,13:10:00,2210,2210004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
66236,12003100102,Lead,09/14/2021,9:40:00,2890,2890004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
66743,12003100102,Lead,10/26/2021,7:45:00,3469,3469004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
67250,12003100102,Lead,11/09/2021,8:15:00,3739,3739004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
67487,12003100102,Lead,03/23/2021,10:45:00,1025,1025004,<7,µg/L,7,BDL,E3497,<,,1112,Lyn Creek,"Cnty Rd 2,  1Km W. Of Sherwood Springs",A,1986,2021,36,0,44.5251040146,-75.80519547818
64201,12003400102,Lead,04/22/2021,10:55:00,1286,1286003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
64465,12003400102,Lead,05/11/2021,11:15:00,1420,1420003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
65174,12003400102,Lead,06/09/2021,10:00:00,1754,1754004,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
65423,12003400102,Lead,07/13/2021,12:00:00,2210,2210003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
66194,12003400102,Lead,09/14/2021,9:10:00,2890,2890003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
66701,12003400102,Lead,10/26/2021,8:15:00,3469,3469003,<7,µg/L,7,BDL,E3497,<,,1114,Butlers Creek,"King St W,  Cnty Rd 2,  Brockville",A,1967,2021,55,0,44.58559713966,-75.69108772808
